PROJECT,DATE, DESCRIPTION , TYPE ,RECIPT TYPE,RECIPT NUMBER,NO. ITEMS, UNIT COST , TOTAL COST 
ADMIN,6/9/2023,SERVICE FUEL,Fuels,OR,1066602,1,1000,1000
ADMIN,6/9/2023,ACOR BUS REGESTRATION PROCESSING,Misc. Admin,VC,CV0623-28,1,1220,1220
ADMIN,6/9/2023,PURIFIED WATER CONTAINER,Misc. Admin,VC,CV0623-29,91,20,1820
21051723 (UPGRADE OF BURNER SYSTEM FOR PREHEATER 1 FURNACE),6/9/2023,CARGO TERMINAL SERVICE AND BILL OF LADING,Materials,VC,CV0623-30,1,6638.24,6638.24
ADMIN,6/10/2023,13 MONT PERIODS JANUARY - JUNE 2023,Overhead payroll,,,1,8650,8650
ADMIN,6/10/2023,COTTON FILTER,PPE,VC,CV0623-35,1,2250,2250
ADMIN,6/10/2023,FIRE BLANKET,Tools and Equip,VC,CV0623-36,1,2400,2400
ADMIN,6/10/2023,GENERATOR REPAIR,Repair & Maintenance,VC,CV0623-37,1,1000,1000
21051723 (UPGRADE OF BURNER SYSTEM FOR PREHEATER 1 FURNACE),6/10/2023,SIKAGROUT AND SIKADUR,Materials,OR,10380,1,57080,57080
ADMIN,6/10/2023,SAFETY PANTS,PPE,OR,8,1,50000,50000
ADMIN,6/10/2023,FUNCTION HALL RENTAL,Rental,OR,123857,1,5000,5000
ADMIN,6/10/2023,WELDING APPAREL,PPE,VC,CV0623-41,1,1400,1400
21050752 (SERVICE REQUEST FOR REPLACEMENT OF DISCHARGE PIPE OF TRANSFER PUMP PAST AREA GOING TO MAST AREA),6/10/2023,MAGNETIC DRILL RENTAL,Tools and Equip,VC,CV0623-42,1,2000,2000
ADMIN,6/10/2023,BUS AND CANTER REPAIRS,Repair & Maintenance,VC,CV0623-43,1,1200,1200
21050448 (SERVICE REQUEST FOR ULTRA MICRO BALANCE ROOM RENOVATION AT LABORATORY FIRE ASSAY),6/5/2023,PAINT,Materials,VC,PCF0623-15,1,509.5,509.5
21050752 (SERVICE REQUEST FOR REPLACEMENT OF DISCHARGE PIPE OF TRANSFER PUMP PAST AREA GOING TO MAST AREA),6/5/2023,PIPING DINNER,Misc. Operation,VC,PCF0623-16,1,800,800
21051723 (UPGRADE OF BURNER SYSTEM FOR PREHEATER 1 FURNACE),6/5/2023,FORKLIFT TIP,Misc. Operation,VC,PCF0623-17,1,500,500
"21051923 (SERVICE REQUEST FOR REPAIR OF SUBSTATION WALLINGS, CEILINGS AND ROOFINGS UNDER FSF A)",6/5/2023,CROW BAR,Tools and Equip,VC,PCF0623-19,1,800,800
21050448 (SERVICE REQUEST FOR ULTRA MICRO BALANCE ROOM RENOVATION AT LABORATORY FIRE ASSAY),6/5/2023,ASSORTED MATERIALS,Materials,VC,PCF0623-20,1,454,454
ADMIN,6/5/2023,VARIOUS PCF PURCHASES,Misc. Admin,VC,CV0623-44,1,7835.16,7835.16
21050752 (SERVICE REQUEST FOR REPLACEMENT OF DISCHARGE PIPE OF TRANSFER PUMP PAST AREA GOING TO MAST AREA),6/10/2023,PAYROLL MAY 29 - JUNE 4,Labor,,,1,152597.4,152597.4
21050448 (SERVICE REQUEST FOR ULTRA MICRO BALANCE ROOM RENOVATION AT LABORATORY FIRE ASSAY),6/10/2023,PAYROLL MAY 29 - JUNE 4,Labor,,,1,47226.05,47226.05
21051723 (UPGRADE OF BURNER SYSTEM FOR PREHEATER 1 FURNACE),6/10/2023,PAYROLL MAY 29 - JUNE 4,Labor,,,1,65567.89,65567.89
"21051923 (SERVICE REQUEST FOR REPAIR OF SUBSTATION WALLINGS, CEILINGS AND ROOFINGS UNDER FSF A)",6/10/2023,PAYROLL MAY 29 - JUNE 4,Labor,,,1,5399.98,5399.98
21050752 (SERVICE REQUEST FOR REPLACEMENT OF DISCHARGE PIPE OF TRANSFER PUMP PAST AREA GOING TO MAST AREA),6/10/2023,PAYROLL MAY 29 - JUNE 4 (SCAFFOLDER),Materials,,,1,16577.14,16577.14
ADMIN,6/10/2023,PAYROLL MAY 29 - JUNE 4 (OVERHEAD),Overhead payroll,,,1,44725.92,44725.92
ADMIN,6/10/2023,PAYROLL MAY 29 - JUNE 4 (UTILITIES),Overhead payroll,,,1,3100,3100
ADMIN,6/13/2023,HELMET STRAP,PPE,VC,CV0623-45,1,2108,2108
ADMIN,6/13/2023,GLOVES ,PPE,VC,CV0623-46,8,110,880
ADMIN,6/13/2023,GLOVES ,PPE,VC,CV0623-46,3,73,219
ADMIN,6/13/2023,ACID SUIT,PPE,VC,CV0623-47,7,400,2800
ADMIN,6/13/2023,ACID SUIT,PPE,VC,CV0623-47,3,150,450
ADMIN,6/13/2023,ACID SUIT,PPE,VC,CV0623-47,6,110,660
ADMIN,6/2/2023,STRADA FUEL,Fuels,OR,2387,1,500,500
ADMIN,6/2/2023,STRADA FUEL,Fuels,OR,2418,1,1000,1000
ADMIN,6/14/2023,RATCHET,Tools and Equip,VC,CV0623-49,1,2400,2400
ADMIN,6/15/2023,RATCHET,Tools and Equip,VC,CV0623-50,1,1300,1300
ADMIN,6/15/2023,SAFETY SHIRT PRINTING,PPE,VC,CV0623-51,80,50,4000
ADMIN,6/16/2023,WORKING GLOVES,PPE,VC,CV0623-52,39,110,4290
ADMIN,6/17/2023,SAFETY BOOTS,PPE,VC,CV0623-53,1,1300,1300
ADMIN,6/17/2023,SAFETY BOOTS,PPE,VC,CV0623-53,2,700,1400
ADMIN,6/17/2023,SAFETY SHIRT 80 PCS,PPE,VC,CV0623-54,1,10956,10956
ADMIN,6/17/2023,BJQ. CORP. SHIPPING FEE,Misc. Admin,VC,CV0623-55,1,2590,2590
21050752 (SERVICE REQUEST FOR REPLACEMENT OF DISCHARGE PIPE OF TRANSFER PUMP PAST AREA GOING TO MAST AREA),6/15/2023,VARIOUS MATERIALS,Materials,OR,14175,1,2120,2120
21050752 (SERVICE REQUEST FOR REPLACEMENT OF DISCHARGE PIPE OF TRANSFER PUMP PAST AREA GOING TO MAST AREA),6/16/2023,VARIOUS MATERIALS,Materials,OR,14190,1,900,900
21050752 (SERVICE REQUEST FOR REPLACEMENT OF DISCHARGE PIPE OF TRANSFER PUMP PAST AREA GOING TO MAST AREA),6/15/2023,VARIOUS MATERIALS,Materials,OR,54975,1,2240,2240
ADMIN,6/17/2023,SAFETY GOGGLES,PPE,VC,CV0623-64,1,2385.1,2385.1
21051723 (UPGRADE OF BURNER SYSTEM FOR PREHEATER 1 FURNACE),6/17/2023,BASE PLATE,Tools and Equip,VC,CV0623-65,1,2000,2000
21051723 (UPGRADE OF BURNER SYSTEM FOR PREHEATER 1 FURNACE),6/17/2023,TACLOBAN BUDGET FOR MATRIAL TESTING,Materials,VC,CV0623-66,1,3767,3767
21050752 (SERVICE REQUEST FOR REPLACEMENT OF DISCHARGE PIPE OF TRANSFER PUMP PAST AREA GOING TO MAST AREA),6/15/2023,DINNER,Misc. Operation,VC,PCF0623-39,1,750,750
21050448 (SERVICE REQUEST FOR ULTRA MICRO BALANCE ROOM RENOVATION AT LABORATORY FIRE ASSAY),6/15/2023,SNACK,Misc. Operation,VC,PCF0623-40,1,405,405
21050752 (SERVICE REQUEST FOR REPLACEMENT OF DISCHARGE PIPE OF TRANSFER PUMP PAST AREA GOING TO MAST AREA),6/15/2023,FORKLIFT TIP,Misc. Operation,VC,PCF0623-41,1,200,200
ADMIN,6/15/2023,PCF VARIOUS PURCHASES JUNE 12-18,Misc. Admin,VC,CV0623-67,1,3922.85,3922.85
21050752 (SERVICE REQUEST FOR REPLACEMENT OF DISCHARGE PIPE OF TRANSFER PUMP PAST AREA GOING TO MAST AREA),6/17/2023,PAYROLL JUNE 5 - 11,Labor,,,1,134680.64,134680.64
21050448 (SERVICE REQUEST FOR ULTRA MICRO BALANCE ROOM RENOVATION AT LABORATORY FIRE ASSAY),6/17/2023,PAYROLL JUNE 5 - 11,Labor,,,1,48052.8,48052.8
21051723 (UPGRADE OF BURNER SYSTEM FOR PREHEATER 1 FURNACE),6/17/2023,PAYROLL JUNE 5 - 11,Labor,,,1,92217.52,92217.52
"21051923 (SERVICE REQUEST FOR REPAIR OF SUBSTATION WALLINGS, CEILINGS AND ROOFINGS UNDER FSF A)",6/17/2023,PAYROLL JUNE 5 - 11,Labor,,,1,8051.93,8051.93
21050752 (SERVICE REQUEST FOR REPLACEMENT OF DISCHARGE PIPE OF TRANSFER PUMP PAST AREA GOING TO MAST AREA),6/17/2023,PAYROLL JUNE 5 - 11 (SCAFFOLDER),Materials,,,1,17516.24,17516.24
21051723 (UPGRADE OF BURNER SYSTEM FOR PREHEATER 1 FURNACE),6/17/2023,PAYROLL JUNE 5 - 11 (SCAFFOLDER),Materials,,,1,17516.24,17516.24
ADMIN,6/17/2023,PAYROLL JUNE 5 - 11 (OVERHEAD),Overhead payroll,,,1,39530.08,39530.08
ADMIN,6/17/2023,PAYROLL JUNE 5 - 11 (SAKI),Overhead payroll,,,1,16900,16900
ADMIN,6/17/2023,PAYROLL JUNE 5 - 11 (UTILITIES),Overhead payroll,,,1,2300,2300
ADMIN,6/17/2023,PAYROLL JUNE 5 - 11 (ADJUSTMENTS),Overhead payroll,,,1,3169.99,3169.99
21050752 (SERVICE REQUEST FOR REPLACEMENT OF DISCHARGE PIPE OF TRANSFER PUMP PAST AREA GOING TO MAST AREA),6/17/2023,PAYROLL JUNE 5 - 11 (ADJUSTMENTS),Labor,,,1,1160.62,1160.62
ADMIN,6/19/2023,STRADA FUEL,Fuels,OR,165608,1,1000,1000
ADMIN,6/19/2023,TIG TORCH,Tools and Equip,VC,CV0623-69,1,9000,9000
ADMIN,6/19/2023,CUP BRUSH,Materials,VC,CV0623-70,1,3250,3250
ADMIN,6/20/2023,FLATFORM SCAFFOLDING,Tools and Equip,VC,CV0623-71,1,13800,13800
ADMIN,6/20/2023,KIA REPAIR,Repair & Maintenance,VC,CV0623-72,1,7500,7500
21050752 (SERVICE REQUEST FOR REPLACEMENT OF DISCHARGE PIPE OF TRANSFER PUMP PAST AREA GOING TO MAST AREA),6/20/2023,CABLE WIRE,Materials,VC,CV0623-73,1,3339.69,3339.69
21051723 (UPGRADE OF BURNER SYSTEM FOR PREHEATER 1 FURNACE),6/20/2023,MALE PLUG,Tools and Equip,VC,CV0623-74,1,1500,1500
ADMIN,6/20/2023,SCAFFOLDING PIPES 24PCS,Materials,VC,CV0623-75,1,12000,12000
ADMIN,6/22/2023,SAFETY SHOES,PPE,VC,CV0623-76,1,1300,1300
21050752 (SERVICE REQUEST FOR REPLACEMENT OF DISCHARGE PIPE OF TRANSFER PUMP PAST AREA GOING TO MAST AREA),6/23/2023,TIG TORCH ,Tools and Equip,VC,CV0623-77,1,9000,9000
ADMIN,6/23/2023,FIRE EXTINGUISHER,Tools and Equip,OR,1892,1,11000,11000
ADMIN,6/23/2023,STARTER ASSY (BUS),Repair & Maintenance,OR,12153,1,11000,11000
ADMIN,6/23/2023,VARIOUS MATERIALS,Materials,OR,15039,1,4040,4040
ADMIN,6/23/2023,MOTORCYCLE TIRE,Misc. Admin,OR,5510595,1,1365,1365
ADMIN,6/23/2023,CANTER TIRE,Repair & Maintenance,VC,CV0623-79,1,2700,2700
ADMIN,6/23/2023,STRADA FUEL,Fuels,VC,CV0623-80,1,1000,1000
ADMIN,6/23/2023,SCAFFOLDING PIPES,Tools and Equip,VC,CV0623-81,13,1000,13000
ADMIN,6/23/2023,PHILHEALTH CONTRIBUTION REFUND,Misc. Admin,VC,CV0623-82,1,1200,1200
ADMIN,6/24/2023,PURIFIED WATER,Misc. Admin,OR,6566,90,20,1800
21051723 (UPGRADE OF BURNER SYSTEM FOR PREHEATER 1 FURNACE),6/19/2023,PCOM BOARD TARP,Materials,OR,911,1,480,480
21050752 (SERVICE REQUEST FOR REPLACEMENT OF DISCHARGE PIPE OF TRANSFER PUMP PAST AREA GOING TO MAST AREA),6/23/2023,NYLON,Materials,OR,58910,1,104,104
ADMIN,6/23/2023,PCF VARIOUS PURCHASES JUNE 19 - 25,Misc. Admin,VC,CV0623-87,1,6564.04,6564.04
21050752 (SERVICE REQUEST FOR REPLACEMENT OF DISCHARGE PIPE OF TRANSFER PUMP PAST AREA GOING TO MAST AREA),6/24/2023,PAYROLL JUNE 12 - 18,Labor,,,1,139194.66,139194.66
21050448 (SERVICE REQUEST FOR ULTRA MICRO BALANCE ROOM RENOVATION AT LABORATORY FIRE ASSAY),6/24/2023,PAYROLL JUNE 12 - 18,Labor,,,1,3343.75,3343.75
21051723 (UPGRADE OF BURNER SYSTEM FOR PREHEATER 1 FURNACE),6/24/2023,PAYROLL JUNE 12 - 18,Labor,,,1,71340.76,71340.76
"21051923 (SERVICE REQUEST FOR REPAIR OF SUBSTATION WALLINGS, CEILINGS AND ROOFINGS UNDER FSF A)",6/24/2023,PAYROLL JUNE 12 - 18,Labor,,,1,39078.56,39078.56
21050752 (SERVICE REQUEST FOR REPLACEMENT OF DISCHARGE PIPE OF TRANSFER PUMP PAST AREA GOING TO MAST AREA),6/24/2023,PAYROLL JUNE 12 - 18 (SCAFFOLDERS),Materials,,,1,17382.14,17382.14
21051723 (UPGRADE OF BURNER SYSTEM FOR PREHEATER 1 FURNACE),6/24/2023,PAYROLL JUNE 12 - 18 (SCAFFOLDERS),Materials,,,1,17382.14,17382.14
ADMIN,6/24/2023,PAYROLL JUNE 12 - 18 (OVERHEAD),Overhead payroll,,,1,38936.67,38936.67
ADMIN,6/24/2023,PAYROLL JUNE 12 - 18 (UTILITIES),Overhead payroll,,,1,3100,3100
ADMIN,6/26/2023,STEEL DRUM,Materials,OR,12093,3,550,1650
21051723 (UPGRADE OF BURNER SYSTEM FOR PREHEATER 1 FURNACE),6/26/2023,ELECTRIC MIXER,Tools and Equip,OR,CV0623-89,1,1674,1674
ADMIN,6/26/2023,TIG ACCESORIES,Tools and Equip,OR,CV0623-90,1,1000,1000
ADMIN,6/27/2023,SCAFFOLDING PIPES,Tools and Equip,OR,CV0623-91,1,40000,40000
21051723 (UPGRADE OF BURNER SYSTEM FOR PREHEATER 1 FURNACE),6/27/2023,VARIOUS MATERIALS,Materials,OR,CV0623-92,1,48004.5,48004.5
ADMIN,6/27/2023,BILWANG TEMPFACIL RENTAL,Rental,OR,CV0623-93,1,4070,4070
ADMIN,6/27/2023,STRADA FUELS,Fuels,OR,CV0623-94,1,2000,2000
ADMIN,6/27/2023,CABLE WIRE,Materials,OR,CV0623-95,1,6559.38,6559.38
ADMIN,6/27/2023,SFAETY GOOGLES,PPE,OR,CV0623-96,1,2289,2289
ADMIN,6/29/2023,SCAFFOLDING PIPES,Materials,VC,CV0623-97,1,30000,30000
ADMIN,6/29/2023,SCAFFOLDING PIPES,Materials,VC,CV0623-97,11,1000,11000
21050752 (SERVICE REQUEST FOR REPLACEMENT OF DISCHARGE PIPE OF TRANSFER PUMP PAST AREA GOING TO MAST AREA),6/30/2023,DINNER,Misc. Operation,VC,PCF0623-71,1,850,850
ADMIN,6/30/2023,PCF VARIOUS PUCHASES,Misc. Admin,VC,CV0623-99,1,1504,1504
21050752 (SERVICE REQUEST FOR REPLACEMENT OF DISCHARGE PIPE OF TRANSFER PUMP PAST AREA GOING TO MAST AREA),7/1/2023,PAYROLL JUNE 19 - 25,Labor,,,1,150051.98,150051.98
"21051923 (SERVICE REQUEST FOR REPAIR OF SUBSTATION WALLINGS, CEILINGS AND ROOFINGS UNDER FSF A)",7/1/2023,PAYROLL JUNE 19 - 25,Labor,,,1,40795.47,40795.47
21051723 (UPGRADE OF BURNER SYSTEM FOR PREHEATER 1 FURNACE),7/1/2023,PAYROLL JUNE 19 - 25,Labor,,,1,94962.68,94962.68
21050752 (SERVICE REQUEST FOR REPLACEMENT OF DISCHARGE PIPE OF TRANSFER PUMP PAST AREA GOING TO MAST AREA),7/1/2023,PAYROLL JUNE 19 - 25 (SCAFFOLDERS),Materials,,,1,2358.64,2358.64
ADMIN,7/1/2023,PAYROLL JUNE 19 - 25 (OVERHEAD),Overhead payroll,,,1,37847.52,37847.52
ADMIN,7/1/2023,PAYROLL JUNE 19 - 25 (SAKI),Overhead payroll,,,1,16900,16900
ADMIN,7/1/2023,PAYROLL JUNE 19 - 25 (UTILITIES),Overhead payroll,,,1,3100,3100
ADMIN,7/1/2023,STEEL PLANKS,Tools and Equip,VC,CV0723-01,8,1000,8000
ADMIN,7/1/2023,SLING 3 METERS,Tools and Equip,VC,CV0723-01,2,1000,2000
ADMIN,7/1/2023,SLING 5 METERS,Tools and Equip,VC,CV0723-01,2,1000,2000
ADMIN,7/1/2023,SACKS,Materials,VC,CV0723-01,106,10,1060
ADMIN,7/1/2023,MOTORCYCLE REPAIR,Repair & Maintenance,VC,CV0723-02,1,1380,1380
21050448 (SERVICE REQUEST FOR ULTRA MICRO BALANCE ROOM RENOVATION AT LABORATORY FIRE ASSAY),7/1/2023,ULTRA PROJECT OUTING,Labor,VC,CV0723-03,1,2000,2000
ADMIN,7/1/2023,CEBU BUDGET FOR VARIOUS PROJECTS,Misc. Admin,VC,CV0723-08,1,8500,8500
ADMIN,7/1/2023,LOAN INTEREST PAYMENT,Misc. Admin,VC,CV0723-09,1,18500,18500
ADMIN,7/1/2023,LOAN INTEREST PAYMENT,Misc. Admin,VC,CV0723-10,1,50000,50000
ADMIN,7/1/2023,FUEL STRADA,Fuels,VC,CV0723-11,1,1500,1500
ADMIN,7/3/2023,BOOK KEEPER SERVICES,Misc. Admin,OR,4334,1,3000,3000
ADMIN,7/4/2023,PIPES,Materials,VC,CV0723-15,10,1000,10000
ADMIN,7/4/2023,STEEL PLANKS,Materials,VC,CV0723-16,8,1000,8000
ADMIN,7/4/2023,CLAMPS,Materials,VC,CV0723-17,200,80,16000
ADMIN,7/4/2023,STEEL PLANKS,Materials,VC,CV0723-17,3,1000,3000
ADMIN,7/5/2023,SHACKLES,Materials,VC,CV0723-18,4,625,2500
ADMIN,7/6/2023,REMITANCES PAYMENT,Misc. Admin,VC,CV0723-20,1,77918.8,77918.8
ADMIN,7/6/2023,STEEL PLANKS,Materials,VC,CV0723-21,8,1000,8000
21050448 (SERVICE REQUEST FOR ULTRA MICRO BALANCE ROOM RENOVATION AT LABORATORY FIRE ASSAY),7/6/2023,SWING POOK AND FIXED GLASS,Materials,VC,CV0723-22,1,37800,37800
21050752 (SERVICE REQUEST FOR REPLACEMENT OF DISCHARGE PIPE OF TRANSFER PUMP PAST AREA GOING TO MAST AREA),7/6/2023,DINNER,Misc. Operation,VC,CV0723-23,1,2000,2000
21050752 (SERVICE REQUEST FOR REPLACEMENT OF DISCHARGE PIPE OF TRANSFER PUMP PAST AREA GOING TO MAST AREA),7/6/2023,CORE DRILL,Materials,VC,CV0723-24,1,1500,1500
ADMIN,7/8/2023,SAFETY PANTS FULL PAYMENT,PPE,OR,260,1,50000,50000
ADMIN,7/8/2023,ANGLE BOLT MACHINE SHOP,Materials,VC,CV0723-31,1,3400,3400
ADMIN,7/8/2023,SAFETY GLOVES,PPE,VC,CV0723-32,13,110,1430
ADMIN,7/8/2023,KIA SPORTAGE REGISTRATION,Misc. Admin,VC,CV0723-33,1,4918.8,4918.8
ADMIN,7/8/2023,ASSORTED PPE,PPE,VC,CV0723-34,1,4490,4490
ADMIN,7/8/2023,CUTTING DISC,Materials,VC,CV0723-36,50,20,1000
21050448 (SERVICE REQUEST FOR ULTRA MICRO BALANCE ROOM RENOVATION AT LABORATORY FIRE ASSAY),7/8/2023,OUTING BUDGET,Labor,VC,CV0723-37,1,2000,2000
ADMIN,7/8/2023,VARIOUS PCF PURCHASES,Misc. Admin,VC,CV0723-38,1,10711.34,10711.34
21050752 (SERVICE REQUEST FOR REPLACEMENT OF DISCHARGE PIPE OF TRANSFER PUMP PAST AREA GOING TO MAST AREA),7/8/2023,PAYROLL JUNE 26 - JULY 2,Labor,,,1,175996.59,175996.59
"21051923 (SERVICE REQUEST FOR REPAIR OF SUBSTATION WALLINGS, CEILINGS AND ROOFINGS UNDER FSF A)",7/8/2023,PAYROLL JUNE 26 - JULY 2,Labor,,,1,51264.33,51264.33
21051723 (UPGRADE OF BURNER SYSTEM FOR PREHEATER 1 FURNACE),7/8/2023,PAYROLL JUNE 26 - JULY 2,Labor,,,1,114888.73,114888.73
21050752 (SERVICE REQUEST FOR REPLACEMENT OF DISCHARGE PIPE OF TRANSFER PUMP PAST AREA GOING TO MAST AREA),7/8/2023,PAYROLL JUNE 26 - JULY 2 (SCAFFOLDER),Materials,,,1,14935.41,14935.41
21051723 (UPGRADE OF BURNER SYSTEM FOR PREHEATER 1 FURNACE),7/8/2023,PAYROLL JUNE 26 - JULY 2 (SCAFFOLDER),Materials,,,1,14935.41,14935.41
"21051923 (SERVICE REQUEST FOR REPAIR OF SUBSTATION WALLINGS, CEILINGS AND ROOFINGS UNDER FSF A)",7/8/2023,PAYROLL JUNE 26 - JULY 2 (SCAFFOLDER),Materials,,,1,14935.41,14935.41
21050752 (SERVICE REQUEST FOR REPLACEMENT OF DISCHARGE PIPE OF TRANSFER PUMP PAST AREA GOING TO MAST AREA),7/8/2023,PAYROLL JUNE 26 - JULY 2 (ADJST),Labor,,,1,12228.49,12228.49
"21051923 (SERVICE REQUEST FOR REPAIR OF SUBSTATION WALLINGS, CEILINGS AND ROOFINGS UNDER FSF A)",7/8/2023,PAYROLL JUNE 26 - JULY 2 (ADJST),Labor,,,1,6508.97,6508.97
21051723 (UPGRADE OF BURNER SYSTEM FOR PREHEATER 1 FURNACE),7/8/2023,PAYROLL JUNE 26 - JULY 2 (ADJST),Labor,,,1,7578.56,7578.56
ADMIN,7/8/2023,PAYROLL JUNE 26 - JULY 2 (OVERHEAD),Overhead payroll,,,1,47924.34,47924.34
ADMIN,7/8/2023,PAYROLL JUNE 26 - JULY 2 (UTILITIES),Overhead payroll,,,1,2900,2900
ADMIN,7/8/2023,PAYROLL JUNE 26 - JULY 2 (OVERHEAD ADJST),Overhead payroll,,,1,5461,5461
21051723 (UPGRADE OF BURNER SYSTEM FOR PREHEATER 1 FURNACE),7/15/2023,3 LENGTH ANGLE BAR,Materials,OR,5562,1,23934,23934
ADMIN,7/10/2023,ASSORTED PPE,PPE,VC,CV0723-39,1,3030,3030
"21051923 (SERVICE REQUEST FOR REPAIR OF SUBSTATION WALLINGS, CEILINGS AND ROOFINGS UNDER FSF A)",7/10/2023,PIONEER INSURANCE,Insurance,VC,CV0723-40,1,5694,5694
21051723 (UPGRADE OF BURNER SYSTEM FOR PREHEATER 1 FURNACE),7/10/2023,PIONEER INSURANCE,Insurance,VC,CV0723-40,1,17105,17105
ADMIN,7/10/2023,OXYGEN ,Materials,OR,199,1,1000,1000
ADMIN,7/11/2023,50M CABLE WIRE,Materials,VC,CV0723-42,1,3487,3487
ADMIN,7/11/2023,SAFETY GLOVES,PPE,VC,CV0723-43,35,110,3850
ADMIN,7/11/2023,DEFORMED BARS AND PHENOLIC BOARD,Materials,OR,226836,1,6916,6916
21050752 (SERVICE REQUEST FOR REPLACEMENT OF DISCHARGE PIPE OF TRANSFER PUMP PAST AREA GOING TO MAST AREA),7/11/2023,TENT,Materials,OR,55577,1,3400,3400
ADMIN,7/11/2023,GRINDER,Tools and Equip,OR,418791,3,4050,12150
ADMIN,7/11/2023,ASSORTED MATERIALS,Materials,OR,418791,1,526,526
ADMIN,7/11/2023,BATTERY AND IGNITION SWITCH,Repair & Maintenance,OR,13300,1,6800,6800
ADMIN,7/12/2023,BUS AND CANTER REPAIR,Repair & Maintenance,VC,CV0723-46,1,3500,3500
21051723 (UPGRADE OF BURNER SYSTEM FOR PREHEATER 1 FURNACE),7/12/2023,PAINTS AND ANGLE BAR SHIPPING FEE,Materials,VC,CV0723-48,1,2308.69,2308.69
21051723 (UPGRADE OF BURNER SYSTEM FOR PREHEATER 1 FURNACE),7/12/2023,TESTING OF CONCRETE SAMPLE,Misc. Operation,VC,CV0723-49,1,2500,2500
ADMIN,7/12/2023,FIXED CLAMPS ,Tools and Equip,VC,CV0723-50,100,100,10000
ADMIN,7/12/2023,GFCI OUTLET,Materials,VC,CV0723-50,5,700,3500
ADMIN,7/12/2023,RETRACTABLE,Tools and Equip,VC,CV0723-51,3,5000,15000
21050752 (SERVICE REQUEST FOR REPLACEMENT OF DISCHARGE PIPE OF TRANSFER PUMP PAST AREA GOING TO MAST AREA),7/12/2023,FORKLIFT TIP,Misc. Operation,VC,CV0723-52,1,5000,5000
21050752 (SERVICE REQUEST FOR REPLACEMENT OF DISCHARGE PIPE OF TRANSFER PUMP PAST AREA GOING TO MAST AREA),7/12/2023,CRANE OPERATOR SNACKS,Misc. Operation,VC,CV0723-53,1,1000,1000
ADMIN,7/13/2023,FIXED CLAMPS,Tools and Equip,VC,CV0723-54,130,80,10400
ADMIN,7/13/2023,FLAT FORM,Tools and Equip,VC,CV0723-54,2,1000,2000
ADMIN,7/13/2023,LADDER,Tools and Equip,VC,CV0723-54,2,1000,2000
21051723 (UPGRADE OF BURNER SYSTEM FOR PREHEATER 1 FURNACE),7/13/2023,ANCHOR FIX,Materials,VC,CV0723-55,1,7641,7641
ADMIN,7/14/2023,TIG GLOVES,PPE,VC,CV0723-56,26,150,3900
"21051923 (SERVICE REQUEST FOR REPAIR OF SUBSTATION WALLINGS, CEILINGS AND ROOFINGS UNDER FSF A)",7/15/2023,WIRE ROPE,Tools and Equip,VC,CV0723-57,1,1000,1000
ADMIN,7/15/2023,ASSORTED PPE,PPE,VC,CV0723-58,1,3370,3370
ADMIN,7/15/2023,CANTER PERMIT RENEWAL,Misc. Admin,VC,CV0723-59,1,5467,5467
ADMIN,7/15/2023,PCF VARIOUS PURCHASES JULY 10 - 16,Misc. Admin,VC,CV0723-64,1,6817.88,6817.88
21050752 (SERVICE REQUEST FOR REPLACEMENT OF DISCHARGE PIPE OF TRANSFER PUMP PAST AREA GOING TO MAST AREA),7/15/2023,PAYROLL JULY 3 - 9,Labor,,,1,183437.61,183437.61
"21051923 (SERVICE REQUEST FOR REPAIR OF SUBSTATION WALLINGS, CEILINGS AND ROOFINGS UNDER FSF A)",7/15/2023,PAYROLL JULY 3 - 9,Labor,,,1,58534.86,58534.86
21051723 (UPGRADE OF BURNER SYSTEM FOR PREHEATER 1 FURNACE),7/15/2023,PAYROLL JULY 3 - 9,Labor,,,1,97831.85,97831.85
21051723 (UPGRADE OF BURNER SYSTEM FOR PREHEATER 1 FURNACE),7/15/2023,PAYROLL JULY 3 - 9 (SCAFFOLDERS),Materials,,,1,10135.66,10135.66
21050752 (SERVICE REQUEST FOR REPLACEMENT OF DISCHARGE PIPE OF TRANSFER PUMP PAST AREA GOING TO MAST AREA),7/15/2023,PAYROLL JULY 3 - 9 (SCAFFOLDERS),Materials,,,1,10135.66,10135.66
ADMIN,7/15/2023,PAYROLL JULY 3 - 9 (OVERHEAD),Overhead payroll,,,1,47016.09,47016.09
ADMIN,7/15/2023,PAYROLL JULY 3 - 9 (SAKI),Overhead payroll,,,1,15600,15600
ADMIN,7/15/2023,PAYROLL JULY 3 - 9 (UTILITIES),Overhead payroll,,,1,3100,3100
ADMIN,7/17/2023,STRADA FUELS,Fuels,VC,CV0723-66,1,3200,3200
21050752 (SERVICE REQUEST FOR REPLACEMENT OF DISCHARGE PIPE OF TRANSFER PUMP PAST AREA GOING TO MAST AREA),7/17/2023,FORKLIFT TIP BUDGET,Fuels,VC,CV0723-67,1,2000,2000
ADMIN,7/17/2023,INDUSTRIAL SOCKETS,Materials,VC,CV0723-68,8,500,4000
ADMIN,7/17/2023,WELDING CONNECTOR,Materials,VC,CV0723-68,2,500,1000
ADMIN,7/17/2023,SCAFFOLDING CLAMPS,Tools and Equip,VC,CV0723-68,100,100,10000
ADMIN,7/18/2023,FIRE BLANKET,Tools and Equip,VC,CV0723-69,5,600,3000
